LOS,DepartureTime,Iteration,Time,Speed,Acceleration,Jerk,Label
A,895,1,950,12.736915502567,-0.29041764058944,0.08423700501755005,0
A,895,1,951,12.394216363051,-0.34269913951559,-0.05228149892615003,1
A,895,1,952,9.8732429373117,-2.5209734257393,-2.17827428622371,1
A,895,1,953,11.831398594481,1.9581556571694,4.4791290829087,1
A,895,1,954,13.737543177697,1.9061445832159,-0.05201107395350002,1
A,895,1,955,15.675605241399,1.9380620637024,0.031917480486499894,1
A,895,1,956,17.50684697766,1.8312417362607,-0.10682032744169989,1
A,895,1,957,19.500320778914,1.9934738012543,0.1622320649936,1
A,895,1,958,21.482646635218,1.9823258563038,-0.011147944950500088,1
A,895,1,959,23.325518090897,1.8428714556783,-0.13945440062550007,1
A,895,1,960,25.111490621338,1.7859725304414,-0.05689892523689988,1
A,895,1,961,27.14236790514,2.0308772838023,0.24490475336090012,1
A,895,1,962,27.110732090058,-0.031635815081863,-2.062513098884163,1
A,895,1,963,27.221802693563,0.11107060350478,0.142706418586643,1
A,895,1,964,27.215741369805,-0.0060613237577485,-0.1171319272625285,1
A,895,1,965,27.153659431138,-0.062081938667689,-0.056020614909940494,1
A,895,1,966,27.227449980604,0.073790549465919,0.135872488133608,1
A,895,1,967,27.15445141663,-0.072998563973233,-0.146789113439152,1
A,895,1,968,27.121888069678,-0.032563346952667,0.040435217020565996,1
A,895,1,969,27.170154313503,0.048266243825204,0.080829590777871,1
A,895,1,970,27.115895850418,-0.054258463084697,-0.10252470690990101,1
A,895,1,971,27.136960592868,0.021064742449671,0.075323205534368,1
A,895,1,972,26.89432431608,-0.24263627678756,-0.263701019237231,0
A,895,1,973,26.230461529465,-0.66386278661534,-0.42122650982778004,0
A,895,1,974,25.719293785589,-0.51116774387618,0.15269504273916001,0
A,895,1,975,25.061891519967,-0.65740226562195,-0.14623452174577,0
A,895,1,976,24.474896288695,-0.58699523127192,0.07040703435003004,0
A,895,1,977,23.931181567859,-0.54371472083628,0.04328051043563996,0
A,895,1,978,23.352982458027,-0.57819910983117,-0.034484388994889925,0
A,895,1,979,22.848548905319,-0.50443355270896,0.07376555712221,0
A,895,1,980,22.291647806651,-0.55690109866789,-0.052467545958929995,0
A,895,1,981,21.715539677091,-0.57610812955931,-0.019207030891420063,0
A,895,1,982,21.235595642215,-0.47994403487617,0.09616409468314002,0
A,895,1,983,20.696903352685,-0.53869228953055,-0.05874825465438005,0
A,895,1,984,20.22421500087,-0.47268835181491,0.06600393771564006,0
A,895,1,985,19.780953890364,-0.44326111050591,0.029427241308999985,0
A,895,1,986,19.278095340773,-0.50285854959102,-0.05959743908511006,0
A,895,1,987,18.801523136139,-0.47657220463415,0.026286344956870045,0
